timestamp,datetime_utc,price_open,price_high,price_low,price_close,liquidation_long_usd,liquidation_short_usd,liquidation_total_usd,funding_open,funding_high,funding_low,funding_close,oi_open,oi_high,oi_low,oi_close,oi_weight_open,oi_weight_high,oi_weight_low,oi_weight_close,cvd_open,cvd_high,cvd_low,cvd_close
1779357600000,2026-05-21T10:00:00.000Z,77633.03,77678.01,77190.09,77383.3,553140.25838,10549.65928,563689.91766,0.00567,0.005947,0.00567,0.005762,7879004324,7880664094,7804498201,7805300840,0.00531,0.005457,0.005296,0.005417,0,0,0,0
1779359400000,2026-05-21T10:30:00.000Z,77383.3,77445.31,77192.37,77198.08,26469.6043,3051.64055,29521.24485,0.005762,0.006186,0.005665,0.006183,7805300840,7813118013,7793976677,7797931618,0.005569,0.006033,0.005569,0.006033,0,0,0,0
1779361200000,2026-05-21T11:00:00.000Z,77198.09,77370.62,77147.15,77323.1,625559.8688,9587.6924,635147.5612000001,0.006183,0.006843,0.006153,0.006843,7797931618,7816706802,7797695328,7812273983,0.006457,0.007009,0.005969,0.007009,0,0,0,0
1779363000000,2026-05-21T11:30:00.000Z,77323.1,77372,77182,77189.1,11342.5612,0,11342.5612,0.006843,0.006903,0.006715,0.0068,7812273983,7814738079,7800523169,7809445102,0.007371,0.00758,0.007371,0.00758,0,0,0,0
1779364800000,2026-05-21T12:00:00.000Z,77189.1,77278.37,77097.16,77115.08,653505.44162,0,653505.44162,0.0068,0.006862,0.006398,0.006398,7809445102,7814088788,7795673712,7798240177,0.007726,0.007726,0.007385,0.007665,0,0,0,0
1779366600000,2026-05-21T12:30:00.000Z,77115.09,77363.32,77080.72,77278.53,36407.47456,36087.0607,72494.53526,0.006398,0.006478,0.006201,0.006201,7798240177,7824145279,7798240177,7817793426,0.007611,0.007947,0.007608,0.007774,0,0,0,0
1779368400000,2026-05-21T13:00:00.000Z,77278.52,77358.05,77202.14,77303.73,2059.24814,2008.2218,4067.46994,0.006201,0.006201,0.005779,0.00607,7817793426,7826044135,7812749333,7822190976,0.008032,0.008032,0.007803,0.00801,0,0,0,0
1779370200000,2026-05-21T13:30:00.000Z,77303.73,77315.4,76719.47,77122.68,5248472.76871,80813.06948,5329285.8381900005,0.00607,0.006395,0.005921,0.00631,7822190976,7822190976,7750804590,7811975308,0.00811,0.008253,0.00811,0.008209,0,0,0,0
1779372000000,2026-05-21T14:00:00.000Z,77122.67,77240.82,76788.8,77059.58,456982.66465,48742.60404,505725.26869,0.00631,0.006491,0.006206,0.006369,7811975308,7817603048,7786672083,7811301573,0.008402,0.008431,0.008367,0.008423,0,0,0,0
1779373800000,2026-05-21T14:30:00.000Z,77059.58,77197.81,76888,76984.61,48470.65984,55049.64416,103520.304,0.006369,0.006543,0.006051,0.006205,7811301573,7829298543,7803220313,7813444193,0.008407,0.008431,0.008301,0.008301,0,0,0,0
1779375600000,2026-05-21T15:00:00.000Z,76984.61,77319.82,76900,77272,2226.3871,444176.99165,446403.37875,0.006205,0.006425,0.006121,0.006306,7813444193,7848254886,7808391905,7845247605,0.00836,0.008418,0.008354,0.008403,0,0,0,0
1779377400000,2026-05-21T15:30:00.000Z,77271.99,77402.12,77069.77,77259.46,18337.7605,989805.73084,1008143.49134,0.006306,0.00644,0.006005,0.006092,7845247605,7860623636,7830464867,7851185894,0.008459,0.008499,0.00841,0.008499,0,0,0,0
1779379200000,2026-05-21T16:00:00.000Z,77259.45,77344.01,77112.52,77182.01,0,1335.50373,1335.50373,0.006092,0.006562,0.006092,0.006562,7851185894,7858835446,7839247935,7844683222,0.008372,0.008372,0.005473,0.006701,0,0,0,0
1779381000000,2026-05-21T16:30:00.000Z,77182,77287.48,77008.75,77207.93,197525.0981,0,197525.0981,0.006562,0.006899,0.006549,0.006899,7844683222,7856546621,7833334826,7855860124,0.007362,0.007454,0.007294,0.007417,0,0,0,0
1779382800000,2026-05-21T17:00:00.000Z,77207.92,78000,77181.83,77980.54,0,8802303.45481,8802303.45481,0.006899,0.007237,0.006666,0.00721,7855860124,7941657476,7854738750,7938774680,0.007241,0.007241,0.006654,0.006881,0,0,0,0
1779384600000,2026-05-21T17:30:00.000Z,77980.54,78098.16,77790.38,77869.38,3888.3713,3365725.52787,3369613.89917,0.00721,0.007252,0.006824,0.006856,7938774680,7971839747,7933056457,7952640912,0.007234,0.007234,0.006835,0.006835,0,0,0,0
1779386400000,2026-05-21T18:00:00.000Z,77869.38,77922.01,77630,77741.59,683780.60488,83793.2943,767573.89918,0.006856,0.006856,0.006249,0.006249,7952640912,7952640912,7882099875,7887558857,0.006867,0.006867,0.006437,0.00674,0,0,0,0
1779388200000,2026-05-21T18:30:00.000Z,77741.6,77810.8,77230,77387.74,1954354.67896,0,1954354.67896,0.006249,0.006249,0.005644,0.005803,7887558857,7889495477,7801505047,7812136862,0.006717,0.006717,0.006496,0.006496,0,0,0,0
1779390000000,2026-05-21T19:00:00.000Z,77387.74,77615.73,77365.97,77541.21,619.8945,4573.1076,5193.002100000001,0.005803,0.006354,0.005803,0.006247,7812136862,7823997456,7812136862,7815628142,0.006181,0.006453,0.006181,0.006267,0,0,0,0
1779391800000,2026-05-21T19:30:00.000Z,77541.21,77802.51,77541.21,77690.56,0,130441.77023,130441.77023,0.006247,0.006374,0.006176,0.006176,7815628142,7831367416,7815628142,7826187028,0.00608,0.006194,0.00608,0.006194,0,0,0,0
1779393600000,2026-05-21T20:00:00.000Z,77690.56,77739.18,77664.72,77692.01,0,1320.3713,1320.3713,0.006176,0.006176,0.006031,0.006031,7826187028,7831276251,7823908405,7824677793,0.00633,0.006646,0.006305,0.006323,0,0,0,0
1779395400000,2026-05-21T20:30:00.000Z,77692.01,77804.75,77647.75,77705.81,0,2342.0298,2342.0298,0.006031,0.006088,0.005425,0.005425,7824677793,7831790920,7815190895,7819769800,0.006212,0.006229,0.00597,0.00597,0,0,0,0
1779397200000,2026-05-21T21:00:00.000Z,77705.8,77812.76,77705.8,77812.76,310.9104,7774.01,8084.9204,0.005425,0.005517,0.005094,0.005094,7819769800,7831570037,7819769800,7831570037,0.005932,0.006484,0.005932,0.006346,0,0,0,0
1779399000000,2026-05-21T21:30:00.000Z,77813.22,77813.35,77645.4,77672.29,0,8930.279,8930.279,0.005094,0.005094,0.004186,0.004186,7831570037,7832269020,7818538762,7821722932,0.006086,0.006086,0.005673,0.005673,0,0,0,0
1779400800000,2026-05-21T22:00:00.000Z,77672.3,77750.61,77600,77698.95,2663.6869,7447.98116,10111.66806,0.004186,0.004251,0.003896,0.003904,7821722932,7837332989,7817837003,7825954232,0.005445,0.005499,0.005305,0.005388,0,0,0,0
1779402600000,2026-05-21T22:30:00.000Z,77698.95,77716.4,77555.33,77628,61495.4858,0,61495.4858,0.003904,0.003966,0.003693,0.003889,7825954232,7827533576,7813123057,7822187139,0.005229,0.00524,0.005088,0.005129,0,0,0,0
1779404400000,2026-05-21T23:00:00.000Z,77628.01,77717.24,77534.43,77655.11,9034.76975,0,9034.76975,0.003889,0.004079,0.00374,0.003834,7822187139,7831764294,7816753334,7823617156,0.005093,0.005351,0.004861,0.005286,0,0,0,0
1779406200000,2026-05-21T23:30:00.000Z,77655.12,77745.39,77599.13,77615.52,0,77.7125,77.7125,0.003834,0.00402,0.003587,0.003587,7823617156,7831043205,7810761333,7811900057,0.005266,0.005345,0.005266,0.005338,0,0,0,0
1779408000000,2026-05-22T00:00:00.000Z,77615.52,77628.38,77416.83,77484,444540.38658,18901.6308,463442.01738,0.003587,0.003587,0.003132,0.003291,7811900057,7812279573,7797626594,7808736829,0.005157,0.005157,0.002342,0.002342,0,0,0,0
1779409800000,2026-05-22T00:30:00.000Z,77484,77562.01,77369.49,77373.57,2471.134,933.5952,3404.7291999999998,0.003291,0.003715,0.003291,0.003648,7808736829,7817258447,7793217990,7793217990,0.003665,0.00407,0.003476,0.003877,0,0,0,0
1779411600000,2026-05-22T01:00:00.000Z,77373.57,77541.8,77327.28,77473.44,51777.96058,310.038,52087.99858,0.003648,0.004212,0.003582,0.004096,7793217990,7813261506,7787063504,7807559277,0.003945,0.004003,0.003619,0.004003,0,0,0,0
1779413400000,2026-05-22T01:30:00.000Z,77473.43,77673.5,77356.66,77616,13543.89221,24591.746,38135.63821,0.004096,0.004588,0.003968,0.004403,7807559277,7819419522,7796544667,7813499416,0.004137,0.004247,0.004023,0.004247,0,0,0,0
1779415200000,2026-05-22T02:00:00.000Z,77616,77728.01,77615.99,77663.73,927.5952,9227.77758,10155.37278,0.004403,0.004432,0.003932,0.003932,7813499416,7825405797,7813499416,7819494398,0.004352,0.004414,0.004233,0.004233,0,0,0,0
1779417000000,2026-05-22T02:30:00.000Z,77663.73,77705.27,77593.16,77673.36,77.2153,8150.1697,8227.385,0.003932,0.003987,0.003782,0.003833,7819494398,7830136532,7815689148,7830136532,0.004187,0.004233,0.003989,0.003989,0,0,0,0
1779418800000,2026-05-22T03:00:00.000Z,77673.37,77794.92,77673.36,77794.91,4496.2397,102084.46886,106580.70856,0.003833,0.00398,0.003695,0.003787,7830136532,7841077950,7826672242,7841077950,0.003981,0.004175,0.003766,0.003766,0,0,0,0
1779420600000,2026-05-22T03:30:00.000Z,77794.91,77817.8,77748.65,77779.98,77.7138,11552.95714,11630.67094,0.003787,0.003937,0.003418,0.003418,7841077950,7848908848,7836667053,7843071166,0.003718,0.003812,0.003718,0.00372,0,0,0,0
